Organization,Website,Status
Southeast Chicago Development Commission,https://www.idealist.org/en/nonprofit/8fb7278c88b64ac9b379f264e564696f-southeast-chicago-development-commission-chicago,live
Southeast Missouri State University,https://semo.edu/,live
Southeast Missouri State University GEAR UP,https://athletics.houghton.edu/sports/baseball,live
"Southeast Missouri State University, Peer Mentor Program",,not found
Southland Health Care Forum,https://southlandhealthcareforum.org/programs.html,live
Southside Educational Center,https://www.southside-ecc.org/,live
Southwest Bell Campaign,https://web.archive.org/web/20031225015436/www.hereinreality.com/hinckley.html,archived
Southwest Women Working Together,https://www.lowincometemporaryhousing.com/li/swwt-org_southwest-women-working-together,live
Soweto Center Chicago,http://www.nonprofitfacts.com/index-IL-So-Sp.html,live
Spark,https://spark.apache.org/,live
Spectra Services,https://spectra-services.com/about-spectra,live
Springfield Urban League,https://springfieldul.org/,live
St Agnes of Bohemia Church,https://www.joinmychurch.com/churches/St-Agnes-of-Bohemia-Chicago-Illinois-United-States/166737,live
St Anselms School,https://stanselmschool.com/,live
St Anthony Hospital,https://www.stanthonyhospital.org/,live
St Bronislava Parish,https://www.joinmychurch.com/churches/St-Bronislava-Parish-Plover-Wisconsin-United-States/56408,live
St Gelasius,https://web.archive.org/web/20201112040027/https://en.wikipedia.org/wiki/List_of_sovereigns_of_Vatican_City_State,archived
St Ignatius College Prep (G&B),,not found
St Joseph Services After School & Mentoring,https://www.stjoesenrichment.com/afterschool,live
"St Lukes Anglicare, Children and Family Service",,not found
St Lukes Lutheran Church,,not found
St Mark AME Church - Quality of Life Center,https://zontamilwaukee.org/?page_id=192,unverified
St Mark AME Church Quality of Life Center,https://zontamilwaukee.org/?page_id=192,unverified
St Mary Church of Prayer World Vision Kid REACH,,not found
St Pius V Parish Casa Juan Diego,https://www.chicagoresourcehub.com/wp-content/uploads/2016/03/chicago-neighborhood-resource-directory.pdf,live
St Pius V Parish Casa Juan Diego 12th District Youth Net,,not found
St Procopius School After School,https://www.taylor.edu/life-at-taylor/student-activities/athletics/,live
St Rita Parish Good Counselor,https://parishstrita.org/home/,live
St. Pius V. Parish - Casa Juan Diego 12th District Youth Net,https://939litefm.iheart.com/,live
StartingUP Now,https://www.entrenuity.com/services/adult-services,live
"State of  Illinois, Office of the Attorney General",https://appliedantitrust.com/12_nonhorizontal_mergers/2_vertical/ticketmaster/ticketmaster_complaint1_25_2010.pdf,live
"State of Illiinois, Office of Lieutenant Governor Pat Quinn",https://sengov.com/pat-quinn/,live
State of Illinois - Treasurer Bank At School Program,https://www.mybkexperience.com/,live
State of Illinois Circuit Court of Cook County Juvenile Justice Department,https://www.mybkexperience.com/,live
State of Illinois Office of the Attorney General,https://appliedantitrust.com/12_nonhorizontal_mergers/2_vertical/ticketmaster/ticketmaster_complaint1_25_2010.pdf,live
State of Illinois Office of the Treasurer,https://illinoistreasurergovprod.blob.core.usgovcloudapi.net/twocms/media/doc/fy15-treasurer-college-svgs-fin-full.pdf,live
"State of Illinois, Office of Lieutenant Governor Pat Quinn",https://www.standingupforillinois.org/pdf/I-Connect.pdf,live
"State of Illinois, Office of the Treasurer",https://www.illinois.gov/agencies/agency.tre.html,live
"State of Illinois, Representative 4th District",https://www.dol.gov/agencies/osec,live
"State of Illinois, The Office of the Treasurer",https://www.mybkexperience.com/,live
"State’s Attorney of Cook County, Juvenile Justice Bureau",https://www.cookcountyil.gov/,live
Steans Family Foundation,https://steansfamilyfoundation.org/,live
Step Up Womens Network,https://projects.propublica.org/nonprofits/organizations/954701468,live
Strategic Development Consulting,https://omegamarketingservices.com/strategic-consulting,live
Strategies Unlimited,https://www.kbumreading.com/,live
Streamwood Residential Center,http://helpwhenyouneedit.org/maps.php?id=617631,live
Strive Tutoring,https://www.strivetutor.org/,live
Student Mentor Partners,https://www.idealist.org/en/nonprofit/1eafe63f2ff84d068750836aea4ab07f-student-mentor-partners-st-clair-shores,live
"Student Mentor Partners, St. Clair Shores, MI",https://www.idealist.org/en/nonprofit/1eafe63f2ff84d068750836aea4ab07f-student-mentor-partners-st-clair-shores,live
Student Tutor Mentor,https://mentoreducation.co.uk/,live
StudioAir,https://www.accessify.com/s/studioair.com,live
"Study Skills, Inc.",https://www.gymshark.com/collections/all-products/womens,live
Sullivan House,https://sullivanhouse.org/about-us/,live
Sullivan House High School,https://www.angelsense.com/blog/autism-schools-in-usa/,live
Sullivan House High School Alternative Schools Network,https://web.archive.org/web/20240109152409/https:/www.protocol.com/enterprise/eric-schmidt-ai-china,archived
Sullivan House High School Schools Network,https://www.sehs.net/,live
SunRise Total Living Ministry Tutoring Program,,not found
SunTimes Judge Marovitz c o The Chicago Bar Association Lawyers Lend A Hand to Youth Program,,not found
Sunlight African Community Center,https://springboardfoundation.org/program/sunlight-african-community-center,live
Sunshine Gospel Ministries,https://www.sunshinegospel.org/,live
Support Center of Chicago,https://web.archive.org/web/20091003194653/www.softsailor.com/news/3787-3787.html,archived
T E R C,https://www.djmaster.com/,live
T.E.Y. Consulting Services,https://www.crueltyfreekitty.com/list-of-cruelty-free-brands/,live
TECO (The Environmental Com Org),https://www.tceq.texas.gov/,live
TEY Consulting Services,,not found
THINK c o MGRF,,not found
TRIBE,https://tribe-official.com/en/,live
TWs Ministry,https://www.tiktok.com/discover/how-long-wait-fast-past-ministry-of-magic,live
TW’s Ministry,https://www.crueltyfreekitty.com/list-of-cruelty-free-brands/,live
Talking Communities LTD,https://www.crueltyfreekitty.com/list-of-cruelty-free-brands/,live
Targeted Search Services,https://armadadigital.co/796-2/,live
Tea Rose Educational Foundation,https://tearosefoundation.org/,live
Teachers Academy for Math & Science,https://www.taylor.edu/life-at-taylor/student-activities/athletics/,live
Teachers Math and Science Academy,https://web.archive.org/web/20110704110715/http:/www.sciencedebate.org/debate08.html,archived
Teachers’ Task Force,https://teachertaskforce.org/,live
TeamMates Mentoring Program,https://lincolnteammates.org/,live
Teaming for Technology,https://www.volunteermatch.org/search/org18178.jsp,live
Teen Dreams,https://ar.pinterest.com/clinterest/teen-dreams/,live
Teen Living Programs,https://www.embarkbh.com/treatment/programs/transitional-living/,live
Teen Nite,https://ohmyomaha.com/event/teen-nite/,live
Teen Parent Services,https://www.mpschools.org/academics/ece/teen-parent-services,live
Temple to the Classroom,https://www.crueltyfreekitty.com/list-of-cruelty-free-brands/,live
Textmania,https://textmania.github.io/,live
The After School Corporation,https://www.wcwonline.org/Publications-by-title/promising-practices-about-the-after-school-corporation-tasc,live
The Alford Group,https://www.alford.com/about-us/,live
The Anointed Word Kingdom Church,https://nonprofitlocator.org/organizations/il/richton-park,live
The Betty Sabeti Foundation,,not found
The Black Angel Network,https://web.archive.org/web/20190529011016/www.swissstyle.com/voyage-to-the-centre-of-innovation/,archived
The Black Star Project,https://ourtimepress.com/shame-black-america-isnt-black-boys-cant-read-shame-black-america-little-help-learn-read/,live
The Blue Gargoyle,https://bgchicago.org/,live
The Blue Sky Inn,https://hotel-blue-sky.dhaka-hotel.com/,live
The Bridge Youth & Family Services,https://thebridgeservices.ca/,live
The Brotherhood Male Mentoring Organization,https://www.crueltyfreekitty.com/list-of-cruelty-free-brands/,live
The C D R D,https://www.cdcr.ca.gov/,live
The Caring World Institute,https://web.archive.org/web/20220710234105/https:/ifstudies.org/blog/the-global-fertility-gap,archived
The Center for Community Development Initiatives,https://www.ampliz.com/company/the-center-for-community-development-initiatives/100885022,live
The Center for Urban School Policy Northwestern University,https://www.maenwatches.com/,live
The Center for What Works,https://www.idealist.org/en/nonprofit/b51bbdeb7a074ad39105959735033c07-the-center-for-what-works-chicago,live
The Chicago Academy for the Arts,https://www.chicagoacademyforthearts.org/academy-events?category=Parents+Association,live
The Chicago Community Trust,https://www.cct.org/,live
The Chicago Field Museum,https://www.tiktok.com/discover/field-museum,live
The Chicago MOST Initiative,https://archive.org/stream/ERIC_ED419303/ERIC_ED419303_djvu.txt,live
The Chicago Public Library Harold Washington Library Center,https://www.hotelplanner.com/Hotels/26784-NEAR-Chicago-Public-Library-Harold-Washington-Library-Center,live
The Chicago Reporter,https://www.chicagoreporter.com/,live
The Chicago Rotary Club,https://rotarysouthpacific.org/page/history,live
The Chicago School of Professional Psychology,https://www.thechicagoschool.edu/academics/colleges/professional-psychology/,live
The Chicago Urban League,https://chiul.org/,live
The Childrens Aid Society,https://www.childrensaidnyc.org/,live
The Childrens Memorial Medical Center,https://longmontfoundation.org/new/wp-content/uploads/2022/12/2021-Annual-Report-1.pdf,live
The Childrens Place Association,https://www.childrens-place.org/wp-content/uploads/2023/08/2022_990_CPA-Final-Group.pdf,live
The Community College Foundation,https://archive.org/stream/ERIC_ED365369/ERIC_ED365369_djvu.txt,live
The Community Development Collaborative,https://www.wellesleyinstitute.com/the-influence-of-green-space-on-mental-health-well-being/,live
The Community Of St Sabina,https://stsabinaparish.org/hispanic-ministry/,live
The Darryl Stingley Youth Foundation,https://www.espn.com/blog/afceast/post/_/id/15437/tatums-death-summons-stingley-tragedy,live
The Dream BIG Foundation,https://ukdripseason.com/pages/dream-big,live
The Educational Design Group,https://web.archive.org/web/20231023214307/https:/www.brookings.edu/articles/the-author-of-the-son-also-rises-responds/,archived
The Financial Learning Institute,https://allreviews.ca/general/financial-learning-institute-reviews,live
The Guidance Center,https://www.guidance-center.org/,live
The Harbour,https://www.dubaiharbour.com/,live
The I Can Outreach Program,https://web.archive.org/web/20231202182612/sundance.org/blogs/news/2012-sundance-film-festival-awards/,archived
The Illinois Institute of Art America Reads Program,https://thesummersmash.com/,live
The Injury Free Coalition for Kids,https://www.injuryfree.org/,live
The Jesse Owens Foundation,https://www.newworldencyclopedia.org/entry/Jesse_Owens,live
The John and Frances Beck Foundation,https://www.aetherometry.com/Electronic_Publications/Politics_of_Science/Antiwikipedia2/Section_IV.html,live
The Leadership Board,https://theitleadershipboard.com/insights/category/marketing/,live
The Leadershop,https://www.visualvisitor.com/companies/5533233/the_leadershop,live
The Lighthouse Church,https://www.tlhc.org/,live
The Lincoln Foundation for Business Excellence,https://qconline.com/business/article_35b23609-3dae-5af8-a850-e8c48882013b.html,live
The Louisville Education & Employment Partnership,https://www.wku.edu/chhs/documents/decade_of_progress.pdf,live
The Loving G E M S,https://www.ea.com/,live
The MASH,https://www.themashmag.com/,live
The Mentoring Institute of Greater St Louis,https://web.archive.org/web/20240702103601/https:/www.vanityfair.com/news/story/robert-kennedy-jr-shocking-history,archived
The Milagro Center,https://www.palmbeachunitedway.org/milagro-center-0,live
The Miracle Center,https://www.themiraclecenter.org/,live
The National Conference for Human,https://www.maenwatches.com/,live
The National Urban Technology Center,https://urbantech.org/,live
The Night Ministry,https://thenightministry.org/,live
The Partnership to Educate and Advance Kids (PEAK),https://peakchicago.org/invest-in-peak/,live
The Paternal Involvement Project,https://biblioteca.cejamericas.org/bitstream/handle/2015/3422/fathers.pdf?sequence=1,live
The Peace Museum,https://www.peacemuseumvienna.com/,live
The Peach Club,https://thepeachclub.co.nz/about,live
The People's Court of Final Appeal,https://web.archive.org/web/20150711162625/www.natlawreview.com/article/supreme-court-limits-scope-honest-services-statute-skilling-v-united-states,archived
The Peoples Court of Final Appeal,https://web.archive.org/web/20150711162625/www.natlawreview.com/article/supreme-court-limits-scope-honest-services-statute-skilling-v-united-states,archived
The Phoenix Experience Valley View CUSD #365U,https://web.archive.org/web/20110202233947/http://thephoenixexperience.com/,archived
The Port,https://leportdenice.com/en/,live
The Posse Foundation,https://www.possefoundation.org/,live
The Princess Within Foundation,https://www.amazon.com/Encouraged-Dr-Bernada-Nicole-Baker/dp/1539129578,live
The Resurrection Project,https://resurrectionproject.org/,live
The Royal Order of Experience Design,https://gmailslater.wordpress.com/category/design/,live
The Rush Center for Womens Medicine,,not found
The Salvation Army,https://www.salvationarmy.org/,live
The Salvation Army - Hero Project Break Through,https://pa.salvationarmy.org/williamsport-pa/project-break-through,live
"The Saturday School of Gary, IN",https://web.archive.org/web/20220123194014/www.chicagonow.com/getting-real/2012/09/the-math-of-renting-vs-buying-a-home-in-chicago/,archived
The Scholarship Well,https://kadamboverseas.com/r-i-m-c-dehradun-scholarship-tamil-nadu/,live
The School of the Art Institute,https://hyperallergic.com/is-the-school-of-the-art-institute-of-chicago-really-giving-kanye-west-an-honorary-doctorate/,live
The Second City Training Center,https://www.secondcity.com/classes-general-information,live
The Sensible City,https://aboutus.com/SensibleCity.com,live
The Siragusa Foundation,https://www.siragusa.org/,live
The Southwest Youth Service Collaborative (SYSC),https://sysnm.wordpress.com/about/,live
The Springfield Urban League,https://springfieldul.org/,live
The Story Within Glencoe Study Center,,not found
The Stump,https://www.google.com/travel/hotels/entity/CgoIn8KKkayR4aw9EAE,live
The Target group READY Program,https://www.formula1.com/en/information/formula-1-partners.2shz7bIVhGgS3ovP69N3Rs,live
The Tramaine Experience Off Broadway,https://m.imdb.com/title/tt15548688/,live
The University of Chicago Neighborhood Schools Program,https://directory.uchicago.edu/organizations/redirects?utf8=✓&orgs[sub_departmentid]=969,live
The University of Toledo Institutional Advancement,,not found
The University of Toledo Urban Affairs Center,https://www.utoledo.edu/centers/urban-affairs/,live
The Village Investment Project Veterans Mentor and Adoption Program,https://web.archive.org/web/20211227064858/http://thevillageinvestment.com/,archived
The Volunteer Center,https://www.volunteercenterhelps.org/,live
The Volunteer Center of NW Chicago - RSVP,,not found
The Volunteer Center of Oak Park,https://www.formula1.com/en/information/formula-1-partners.2shz7bIVhGgS3ovP69N3Rs,live
The Washington Hospital Center Youth Mentoring Program,https://www.formula1.com/en/information/formula-1-partners.2shz7bIVhGgS3ovP69N3Rs,live
The Weizmann Institute of Sciences,https://www.weizmann.ac.il/pages/,live
The Woman of Gods Design,http://www.wogdministry.org/,live
There's Hope Youth Mentoring Services,,not found
Theres Hope Youth Mentoring Services,,not found
Theta Omega Chapter of Phi Theta Kappa,https://ptkwrightcollege.wordpress.com/,live
Think Detroit,https://detroitmi.gov/departments/housing-and-revitalization-department/office-immigrant-affairs/think-detroit,live
Third Unitarian Church,https://www.thirdunitarianchurch.org/,live
Third Unitarian Church/ Rosa Parks Center,https://www.taylor.edu/life-at-taylor/student-activities/athletics/,live
Thornton Township Youth Committee - BBBS,https://www.formula1.com/en/information/formula-1-partners.2shz7bIVhGgS3ovP69N3Rs,live
"Thorton Township Youth Committee, TTRAP/Big Brothers/Big Sisters",,not found
Three Rivers Education Partnership,https://trma.org/trep/,live
Thrivable org a project of Nurture biz,https://www.formula1.com/en/information/formula-1-partners.2shz7bIVhGgS3ovP69N3Rs,live
Tilden Community Academy,https://www.tilden.cps.edu/,live
Toastmasters,https://www.toastmasters.org/,live
Todays Solutions,https://tenor.com/view/todays-solutions-tomorrows-problems-eyeball-spying-surveillance-nsa-gif-16688167,live
Toledo Public Schools,https://www.tps.org/students_parents,live
Toledo Public Schools Partners in Education,https://cdn.ymaws.com/naa.site-ym.com/resource/collection/E58A5A13-01EF-4A6B-B769-CC4A7200B2CE/AST_Fall_2020.pdf,live
Tomorrow's Men,https://www.tomorrowman.com.au/,live
Tomorrows Men,https://www.eastlondondance.org/projects/tomorrows-men/,live
Totton Peters Communications,http://www.nonprofitfacts.com/index-PA-To-Tr.html,live
Touch-A-Teen,https://web.archive.org/web/20180403051324/http:/brokenrites.org.au/drupal/node/36,archived
Training Visions,https://trainingvisions.org/services/,live
"Travelers & Immigrant Aid, Winthrop Towers Education Initiative",,not found
Travelers &Immigrants Aid,https://www.zippia.com/travelers-immigrants-aid-s-heartland-alliance-for-human-needs-and-human-rights-careers-42218/,live
Tri Cities United Way and Volunteer Center,https://www.starwarscelebration.com/en-us/tickets-merch/ticket-information.html,live
Triangle Center Life Skills,https://www.taylor.edu/life-at-taylor/student-activities/athletics/,live
Trinity Christian College,https://www.trnty.edu/,live
Triton College,https://www.triton.edu/contact/,live
True Star Media,http://web.archive.org/web/20110623222820/starwars.com/episode-iv/bts/article/f19970115/index.html,archived
Truman College,https://www.ccc.edu/truman/departments/science-center/,live
Truman College GEAR UP Program,,not found
"Truman College, Tutoring Center",https://www.ratemyprofessors.com/professor/1947356,live
"Trusted Partners, Indianapolis, IN",https://www.nonprofitlist.org/det/44871_trusted-partners,live
Tuiton College,https://foursquare.com/v/chiong-tuiton/506fa9e3e4b08aa60437790e,live
Tutor For Excellence org,https://web.archive.org/web/20110704110715/http:/www.sciencedebate.org/debate08.html,archived
Tutor Mentor Connection,https://tutormentorconnection.ning.com/,live
Tutor Mentor Summit Indy,http://urlm.co/www.tutormentorsummitindy.com,live
Tutor for English as a second language,https://www.striveonlinespeechlanguagetherapy.com/english-as-second-language,live
Tutor/Mentor Connection,https://tutormentorconnection.ning.com/,live
"Tutor/Mentor Connection, Tutor/Mentor Institute, LLC",https://tutormentor.blogspot.com/2016/11/,live
Tutor/Mentor Summit Indy,http://urlm.co/www.tutormentorsummitindy.com,live
TutorTrek,https://explore.market.dev/ecosystems/redis/projects/tutortrek,live
Twin Cities One-to-One,https://opencorporates.com/companies/us_mn/dc6c40fa-acd4-e011-a886-001ec94ffe7f,live
U S Department of Health and Human Services Region V,,not found
UCAN - HANDS without GUNS,,not found
UIC,https://uic.group/,live
UIC - Urban Passage Mentoring Program,,not found
UIC African American Academic Network,https://www.schoolandcollegelistings.com/US/Chicago/123625601142920/UIC-Chancellor's-Committee-on-the-Status-of-Blacks---CCSB,live
UIC Center for Educational Excellence,http://web.archive.org/web/20020922153719/www.chi-challenge.org/implement3.htm,archived
UIC Department of Human Development,https://www.saapri.org/3346/key-findings-from-saapris-south-asians-aging-in-america/,live
UIC Dept of Disability and Human Development,https://mhdauic.wordpress.com/,live
UIC Dept. of Psychology,,not found
"UIC Division of Community Health, Teen Reach Program",,not found
UIC Institute of Health and Research Policy,,not found
UIC Institute on Disability and Human Development,https://www.instituteonline.org/leadership/,live
UIC Regional Math Science Center,,not found
"UIC, Dept of Disability and Human Development",https://bleach-anime.com/en/character/,live
"UIC, Illinois Latino Educational Alliance",https://www.vanillaprepaid.com/,live
"UIC, Institute on Disability and Human Development",https://www.instituteonline.org/leadership/,live
"UIC, Jane Addams School of Social Work",https://crownschool.uchicago.edu/directory/rachel-kazez,live
"UIC, SOAR-Intensive Academic Outreach",,not found
"UIC, TRIO Program",https://tunein.com/podcasts/Education-Podcasts/UIC-Commuter-Pulse-Podcast-p3031294/,live
"UIC, University of Illinois Family Advocacy Program",,not found
"UIC, University of Illinois at Chicago",https://www.campusreel.org/how-to-get-into-college/university-of-illinois-at-chicago-admissions-requirements-and-gpa,live
"UIC, University of Illinois at Chicago/School of Public Health",https://www.mlb.com/bluejays/schedule/2026-03,live
US Department of Education,https://www.bostonglobe.com/2025/11/19/metro/trump-education-department-changes-rhode-island/,live
US Department of Health & Human Services,https://www.parkwhiz.ca/us-department-of-health-human-services-parking/,live
US Post Office Great Lakes Area,https://web.archive.org/web/20180712004522/www.chron.com/neighborhood/moco/news/article/Woman-killed-in-officer-involved-shooting-in-13067765.php,archived
UW Madison Do It ITA,,not found
UW Parkside - Mentor Kenosha & Racine,,not found
UW Parkside Center for Community Partnerships,https://leadingtransitions.com/services_speaking.html,live
UW Parkside Mentor Kenosha & Racine,https://www.uwp.edu/,live
Uhlich Childrens Advantage Network,"https://www.causeiq.com/organizations/uhlich-childrens-advantage-network,362167937/",live
Uhlich Childrens Advantage Network - UCAN,"https://www.causeiq.com/organizations/uhlich-childrens-advantage-network,362167937/",live
"Uiversity of Chicago, Chapin Hall Center for Children",,not found
Ujima Area Health Education Center (AHEP),,not found
Umoja Student Development Corporation,https://www.every.org/umojacorporation,live
Union League Boys and Girls Club,https://www.idealist.org/en/nonprofit/7bf9fd717ac24ababec2c4b6f6c5f996-union-league-boys-girls-clubs-chicago,live
United Airlines,https://jetstream.united.com/u4b/UBiz_LoginContainer?ec=302&startURL=/u4b/s/,live
United Charities,https://www.unitedway.org/,live
United Charities Blue Skies Tutoring,https://www.crueltyfreekitty.com/list-of-cruelty-free-brands/,live
United Church of Hyde Park,https://achicagosojourn.wordpress.com/2014/06/23/united-church-of-hyde-park/,live
United Health Care of Illinois,https://www.uhc.com/individuals-families/illinois,live
United I Have A Dream Foundation,https://www.crueltyfreekitty.com/list-of-cruelty-free-brands/,live
United Progress for Outreach,https://www.taylor.edu/life-at-taylor/student-activities/athletics/,live
United Students,https://www.innercitystruggle.org/united_students,live
United Way of Champaign County,https://www.unitedwaychampaign.org/healthy-community,live
United Way of Illinois,https://www.tgci.com/funding-sources/illinois,live
Universal Family Connections,https://ufamily.org/,live
"Universal Family Connections, Mentor Connection",http://web.archive.org/web/20061231031333/ws2005.wikisym.org/space/WikiVanning,archived
Universidad Popular Uprising Youth Program,https://bleach-anime.com/en/character/,live
Universitat of Girona,https://www.eduopinions.com/universities/universities-in-spain/girona/universitat-girona-udg/accounting-finance/accounting-reviews/,live
University College I U P U I,https://web.archive.org/web/20110604035216/https:/www.ndsu.edu/news/view/article/11749/,archived
University Community Service Center,https://ucsc.uchicago.edu/,live
University of Chicago,https://surgery.uchicago.edu/education/ohns-meet-residents,live
University of Chicago - School of Social Service Administration,https://www.miessociety.org/mies-buildings/blog-post-title-two-793r4-yjaj6-fm4kw-cktjr-a7s8y-2cxsn-wddj7-y77l6-66psw-5x4rt-ncdpr-terma-x55zx-fkwjd-bh29m-2wgkz-b4x26,live
University of Chicago Charter School Corp - Donoghue Campus,,not found
"University of Chicago Charter Schools, Woodlawn",https://www.maryinthemixx.com/post/hamilton-connects-with-1-900-cps-students-and-teachers,live
University of Chicago Community Affairs Neighborhood Schools Program,http://web.archive.org/web/20010124111600/www.catalyst-chicago.org/10-99/109prom.htm,archived
University of Chicago Hospital,,not found
University of Chicago Hospitals,https://www.healthgrades.com/group-directory/il-illinois/chicago/university-of-chicago-hospitals-xtxnqd,live
University of Chicago Lab School - Community Learning,https://forum.netmarble.com/futurefight_en,live
University of Chicago Lab Schools,https://www.ucls.uchicago.edu/,live
University of Chicago Laboratory Schools,https://www.ucls.uchicago.edu/,live
University of Chicago Medical Center,https://www.uchicagomedicine.org/patients-visitors/visitor-information/dining-options,live
University of Chicago School of Social Service,https://www.petersons.com/graduate-schools/university-of-chicago-school-of-social-service-administration-000_10013608.aspx,live
University of Chicago School of Social Service Administration,https://ssa.uchicago.edu/,live
University of Chicago Urban Education Institute,https://www.uchicago.edu/education-and-research/center/urban_education_institute/,live
University of Chicago Urban Leadership Center,https://web.archive.org/web/20080420154202/www.beyondmarriage.org/signatories.html,archived
University of Chicago – Gear UP,https://fightingillini.com/sports/mens-track-and-field,live
"University of Chicago,  Community Service Center",https://ucsc.uchicago.edu/,live
"University of Chicago, Consortium for Chicago School Research",https://files.eric.ed.gov/fulltext/ED568396.pdf,live
"University of Chicago, Net Impact Fellow",,not found
University of Girona,https://www.udg.edu/en/,live
University of Il Extension,https://www.shothotspot.com/hotspot/sycamore-il-usa/university-of-il-extension,live
University of Illinois 4H Extension,https://frc-events.firstinspires.org/2025/team/4096,live
University of Illinois and NFL,https://web.archive.org/web/20050404003134/http:/www.singlesexschools.org/schools-schools.htm,archived
University of Illinois and National Football League,https://fightingillini.com/sports/mens-track-and-field,live
University of Illinois at Chicago,https://edurank.org/uni/university-of-illinois-at-chicago/,live
University of Illinois at Urbana-Champaign,https://www.britannica.com/topic/University-of-Illinois,live
"University of Kansas - Akouo, Inc",,not found
"University of Maryland, Community Kinnections Program",https://communityengagement.umd.edu/,live
"University of Maryland, Project Links",https://web.archive.org/web/20110920133809/http:/www.uvu.edu/chss/adoption/2010/presenters.html,archived
University of Michigan Health System-,https://www.myuofmhealth.org/MyChart-PRD/Authentication/Login,live
University of Michigan Medical Center,https://www.medifind.com/specialty/gastroenterology/US/MI,live
"University of Michigan, Community Scholars Program",https://regents.umich.edu/files/meetings/12-21/2021-12-IX-13.pdf,live
University of Missouri - Kansas City Ivanhoe House,https://forum.netmarble.com/futurefight_en,live
"University of Missouri - Kansas City, College of Arts & Sciences",https://forum.netmarble.com/futurefight_en,live
University of New Mexico African American Student Services,https://afro.unm.edu/2018-black-cultural-conference/Accommodations.html,live
University of Notre Dame Institute for Latino Studies,https://latinostudies.nd.edu/about/,live
University of Wisconsin - Parkside Center for Community Partnerships,https://www.westofthei.com/2010/03/06/uw-parkside-invites-you-to-the-front-porch/8705,live
University of Wisconsin - Parkside/Mentor Kenosha & Racine,https://www.uwp.edu/,live
University of Wisconsin - ParksideCenter for Community Partnerships,,not found
University of Wisconsin Parkside Center for Community Partnerships,https://forum.netmarble.com/futurefight_en,live
University of Wisconsin-Milwaukee,https://uwm.edu/official-functions/,live
Uptown Center Hull House Association,https://en.citizendium.org/wiki/Hull_House/Bibliography,live
Urban Gateways,https://urbangateways.org/,live
Urban Initiatives,https://urban-initiatives.com/,live
Urban Leadership Center,https://urbanleadershipcenter.info/,live
Urban Libraries Council Public Libraries as Partners in Youth Development,https://forum.netmarble.com/futurefight_en,live
Urban Options,https://www.urbanoptions.org/,live
Urban Prep Academies Fellows Program,,not found
Urban Solutions,https://www.enterprisesg.gov.sg/industries/urban-solutions,live
"Urbana Middle School, C-U One-to-One Mentor Program",,not found
Usborne Books,https://usborne.com/row/,live
V.0.1.C.E.,https://bvf.ru/forum/showthread.php?t=149643,live
VCA,https://www.sos.ca.gov/voters-choice-act/vca-resources,live
VOICE Learning Center,https://www.gymshark.com/collections/all-products/womens,live
Valerie Denney Communications,https://www.buzzfile.com/business/Valerie-Denney-Communications-708-638-9683,live
Valerie F. Leonard.Com / NonProfit Utopia,https://nonprofitutopia.com/,live
Valley Kingdom Ministries International,https://www.vkmi.org/,live
Van Buren Intermediate School District,https://www.vbisd.org/,live
Vanderbilt University Medical Center,https://www.vanderbilthealth.com/locations/vanderbilt-dayani-center,live
Victory Apostolic Church,https://www.vacmatteson.org/,live
Victory Christian Assembly Church,https://magicpin.in/Chennai/Tambaram/Other/Victory-Christian-Assembly-Church/store/991731/,live
Vietnamese Association of Illinois,https://hnvi.org/,live
Village Investment Project,https://eintaxid.com/company/473889076-village-investment-project-np/,live
Village of Mount Prospect,https://www.mtphist.org/about-us/history/,live
Village of Mount Prospect - Mentoring Program,,not found
Village of Mount Prospect Mentoring Program,https://www.taylor.edu/life-at-taylor/student-activities/athletics/,live
Village of Mt Prospect Human Services Department,https://www.dol.gov/agencies/osec,live
Village of Mt Prospect Mentoring Program,,not found
Village of Mt. Prospect Mentoring Program,,not found
Village of Park Forest Economic Development and Planning,https://www.villageofparkforest.com/,live
Village of Park Forest Recreation and Parks,https://www.mapquest.com/us/illinois/village-of-park-forest-recreation-and-parks-546648283,live
Virginia Heroes Incorporated - Role Model/Mentoring,https://www.gymshark.com/collections/all-products/womens,live
Vision Chicago,https://www.joinchargeback.com/cancels/how-to-cancel-vision-chicago,live
Vision Chicago CityLINC,https://www.chicago.gov/,live
Visuals4U,https://capcut.en.softonic.com/android,live
Vital Bridges,https://www.nelincs.gov.uk/vital-bridges-connecting-grimsby-and-immingham-will-be-repaired-to-boost-the-local-key-industries-and-tourism/,live
Voices for Illinois Children,https://www.influencewatch.org/non-profit/voices-for-illinois-children/,live
Vol of America,https://aguea.net/Vol_of_America,live
Volunteer Center of Oak Park - Youth Connect,https://forum.netmarble.com/futurefight_en,live
Volunteers of America,https://web.archive.org/web/20210607060442/https://www.thisismyjam.com/song/jefferson-airplane/volunteers-of-america,archived
Volunteers of America of Illinois,https://old.voaillinois.org/offices,live
W.D.M. Ministry,https://www.muslimamericancommunity.com/w-d-m-ministry,live
WGN-TV,https://apps.apple.com/us/app/wgn-tv/id1592750968,live
WOHC & Associates,,not found
WSCORP Communiversity,https://core.ac.uk/download/pdf/71339410.pdf,unverified
WSU Medicare,https://forum.netmarble.com/futurefight_en,live
WTTW TV Chicago,https://www.nprillinois.org/chicago-tonight,live
Walden University,https://www.waldenu.edu/admissions/transcripts,live
